"","gene1","gene2"
"369","BMX","PTPN21"
"371","CITED1","SMAD4"
"372","MYPN","ACTN3"
"377","NCS1","IL1RAPL1"
"382","CBX5","SUV39H1"
"386","UPF3B","TTC19"
"387","UPF3B","UPF2"
"388","UPF3B","MCRS1"
"389","VDAC1","DYNLT3"
"392","TIMM8A","STAM"
"395","TRIP10","WAS"
"399","GATA1","ZFPM2"
"402","FMR1","UBE2I"
"403","FXR1","FMR1"
"404","FMR1","NUFIP1"
"405","MSN","TSC1"
"410","POLA1","RBMS1"
"411","RPGR","RPGRIP1"
"412","RPGR","PDE6D"
"415","SYP","AP1G1"
"416","TAF1","UBTF"
"429","BPY2","UBE3A"
"431","YAF2","YY1"
"435","ERBB4","SNTB2"
"440","BAX","BCL2A1"
"442","LRP2","MAGI1"
"443","ANKRA2","LRP2"
"444","LRP2","LRP2BP"
"445","LRP2","DAB2"
"446","LRP2","DLG2"
"454","CREBBP","NFE2L2"
"455","CREBBP","TDG"
"456","CREBBP","AIRE"
"457","AP1B1","AP1G1"
"458","PPP1R9B","CDKN2A"
"459","JAK3","TIAF1"
"460","JAK3","STAT5A"
"461","MAP1A","UPF2"
"469","FASN","FASN"
"472","UPF1","HIRA"
"475","PKP4","DSC3"
"476","ATXN1","COIL"
"478","NDN","NUBP1"
"483","BBS4","PCM1"
"485","LSM1","PSMB5"
"486","RANBP9","S100A7"
"487","TRAIP","FLII"
"491","XRCC2","RAD51D"
"492","MSC","ID2"
"493","ID2","TCF12"
"494","TCF4","ID2"
"495","PEX12","PEX5"
"496","PEX12","PEX5"
"497","PEX13","PEX5"
"498","ARFIP2","ARF6"
"502","EIF2AK3","NFE2L2"
"503","NAA38","IGHMBP2"
"505","NCK1","EPHB1"
"506","MINK1","NCK1"
"507","RECQL","KPNA4"
"508","RECQL","KPNA2"
"509","ERBB4","DLG4"
"510","ERBB4","YAP1"
"511","ERBB4","DLG2"
"512","PIAS1","STAT1"
"514","S100P","S100P"
"515","DLG4","KCNJ2"
"517","PPP1R9B","TIAM1"
"519","IFI35","NMI"
"520","SYN2","SYN2"
"521","PSEN2","KCNIP3"
"524","LIMK1","BMPR2"
"525","FXR1","CYFIP2"
"528","NCOR2","ZBTB16"
"529","CDKN1C","LIMK1"
"530","EPS15L1","AGFG1"
"531","EPS15","AGFG1"
"532","UGCG","RTN1"
"535","NEUROD1","HAP1"
"536","HAP1","DCTN1"
"537","HAP1","HGS"
"542","DCP1A","SMAD4"
"543","BPTF","MAZ"
"545","ADAM17","DLG1"
"548","BOK","BCL2A1"
"549","BCL2A1","BAD"
"550","LSM6","SNRPD2"
"551","LSM7","SNRPD3"
"553","NAA38","SNRPD1"
"555","CADM1","MPP3"
"556","MPP6","THOP1"
"557","DUSP10","MAPK8"
"558","CSPG4","GRIP2"
"560","CDC6","ORC2"
"561","ORC2","DBF4"
"563","TGFB1I1","PTK2B"
"564","TGFB1I1","PTK2B"
"565","UBQLN1","MTOR"
"566","ITGA3","BIN1"
"567","BIN1","SNX4"
"571","HNRNPD","LSM5"
"573","VPS37A","TSG101"
"574","KAT5","ETV6"
"575","MYBL2","ZNF622"
"576","UPF1","NAA38"
"578","MAD2L1","ESR2"
"582","GRB10","GIGYF2"
"585","ATXN1","ANP32A"
"586","ATXN1","USP7"
"587","EZH2","EED"
"588","KHDRBS1","RAPSN"
"589","CITED2","TFAP2C"
"592","PGR","UBE3A"
"595","NAA38","GTF2I"
"596","THRB","PSMC5"
"597","TRAIP","TRAF1"
"598","HIVEP3","TRAF1"
"600","RNF7","CUL5"
"603","PEX12","PEX10"
"604","PEX12","PEX10"
"606","MCM6","MCM6"
"608","HIVEP3","TRAF2"
"609","TRAIP","TRAF2"
"610","ORC1","CDC7"
"611","BCL2L2","BCL2L11"
"612","STAP2","PTK6"
"613","EXOSC6","PSMB1"
"614","DCP2","PSMB1"
"615","IL16","PPP1R12A"
"620","RAC2","CUL1"
"621","NAA38","TALDO1"
"622","TRPV1","SYT9"
"623","TACC1","YEATS4"
"624","PRMT5","CLNS1A"
"626","SIAH1","KIF22"
"627","PEG10","SIAH1"
"629","PEG10","SIAH2"
"630","ATXN7","CRX"
"632","TTF2","DRAP1"
"633","CIB1","EXOSC10"
"634","ILK","ILKAP"
"635","ILK","LIMS1"
"636","DNM2","SHANK1"
"637","DNM2","SHANK2"
"638","DNM2","MPP6"
"639","BLMH","UBE2I"
"640","PPP2R5D","HAND2"
"641","HAND2","COPS5"
"643","SLBP","ERI1"
"644","SCAMP1","ITSN1"
"645","IPCEF1","CYTH2"
"646","NRIP1","NR0B1"
"647","HEXIM1","CCNT1"
"649","MAP3K3","MAP2K5"
"650","SNAP23","SNAPIN"
"651","NPAS4","ARNTL"
"652","RANBP3","XPO1"
"655","ACCN3","MAGI1"
"656","IL1RAP","TOLLIP"
"657","FHL2","SFPQ"
"659","UPF2","EIF4A1"
"660","PDE6D","RND1"
"661","ARHGAP5","RND3"
"662","HNRNPAB","TP63"
"663","NR1H4","NCOA1"
"673","5-Sep","NAA38"
"674","FYB","SKAP1"
"675","PRKAB1","PRKAG1"
"676","PRKAB1","PRKAG2"
"677","PRKAB2","PRKAG1"
"678","PRKAB2","PRKAG2"
"679","PRKAG1","PRKAG2"
"680","RGPD5","TNPO1"
"681","DNMT3A","UBE2I"
"682","THRB","BRD8"
"686","SAFB","SAFB2"
"689","MAPK11","HDAC3"
"690","PIAS4","SMAD7"
"692","LHX2","CITED2"
"693","E2F6","RYBP"
"695","BTG1","PRMT1"
"696","BTG1","PRMT1"
"697","RNF216","TLR3"
"698","RNF216","TLR4"
"702","SRSF7","DUSP11"
"703","DUSP11","SRSF9"
"705","RNF7","CUL1"
"707","MCL1","BAD"
"709","MVD","BTAF1"
"710","SMARCA4","MPP6"
"711","FANCA","SMARCA4"
"712","XRN1","CHD4"
"714","FNBP1","TNKS"
"715","BIRC5","AURKB"
"716","SRSF3","EXOSC6"
"718","XRN1","PABPC4"
"719","ITGA3","RABIF"
"720","RIPK3","RIPK1"
"721","LSM7","MYH13"
"724","NMI","LSM4"
"725","AP1S1","AP1G2"
"726","AP1S1","AP1G1"
"729","XRN1","AP1G2"
"731","SNRPF","LSM5"
"733","MBD3L1","MBD3"
"734","TOP3B","CHD8"
"735","TOP3B","ZFPM1"
"736","RABEP1","HUNK"
"738","RPS20","MPP6"
"740","HIC1","HIC1"
"741","PDZK1","SLC22A4"
"742","PDZK1","AKAP10"
"743","PDZK1IP1","PDZK1"
"744","PDZK1IP1","PDZK1"
"746","DNM1L","GSK3B"
"747","HEXIM1","CCNT2"
"753","ZNF174","ZNF174"
"755","MPP6","EIF3G"
"756","TACC3","AKAP9"
"757","FNBP1","AKAP9"
"759","PLCB2","TRPM7"
"760","PKP4","ERBB2IP"
"764","COPG","COPG2"
"765","VPS37C","HGS"
"766","GNA13","AKAP3"
"769","ANAPC5","PABPC1"
"770","ITGAE","EED"
"772","TTF2","TNIP1"
"773","TTF2","DCP1A"
"774","TTF2","PDCD6IP"
"775","TTF2","PRDX4"
"776","TTF2","CLPB"
"777","TTF2","TACC3"
"778","STK16","NAGK"
"782","NUDT21","EXOSC6"
"783","UNC13B","SPTBN2"
"784","KCNJ1","SLC9A3R1"
"788","UBQLN1","P4HB"
"789","TARBP2","TARBP2"
"790","EEA1","RAB22A"
"791","GIPC1","ZFPM1"
"795","RASSF1","EXOSC8"
"796","CNKSR1","RASSF1"
"799","FHL5","FHL5"
"800","EED","HDAC2"
"802","MCL1","BOK"
"805","RAB11FIP4","RAB11A"
"808","RHOQ","GOPC"
"809","RHOQ","EXOC7"
"810","PBLD","STRAP"
"812","ABI3","ABI3BP"
"813","PINX1","MCRS1"
"814","PRDX4","PRDX4"
"817","TXNIP","ZBTB32"
"818","CSPG5","GOPC"
"819","ACCN3","GOPC"
"821","FHOD1","EXOSC8"
"822","HSH2D","TNK2"
"829","ORC6","CDC7"
"833","LSM1","EXOSC8"
"834","LSM1","EXOSC6"
"836","LSM1","NDUFAF3"
"837","LSM1","N4BP1"
"839","LSM1","UPF2"
"846","LSM4","XRN1"
"847","PLEKHA5","LSM4"
"848","LSM5","EXOSC5"
"849","LSM6","MCRS1"
"850","LSM6","POLD2"
"851","LSM7","EXOSC8"
"852","LSM7","RAB7L1"
"853","LSM7","EXOSC6"
"854","NAA38","COL23A1"
"855","NAA38","DBF4"
"857","ITSN2","NAA38"
"859","NAGK","NAA38"
"860","FAM63A","NAA38"
"861","NAA38","EXOSC6"
"862","NAA38","DCP1A"
"863","ISOC2","NAA38"
"864","NAA38","THUMPD3"
"865","FERMT3","NAA38"
"866","AIRE","AIRE"
"867","ECT2","PARD6A"
"868","LRPPRC","MAP1S"
"869","LRPPRC","CECR2"
"873","XRN1","CCT5"
"874","THEG","CCT5"
"875","PPFIA1","GIT1"
"878","RARA","ZBTB16"
"880","UFD1L","NPLOC4"
"883","NPAS4","ARNT2"
"884","SCRIB","EXOSC10"
"885","PARN","C21orf56"
"886","EXOSC5","SFPQ"
"888","THRB","NCOA2"
"890","GFI1","PIAS3"
"892","TGS1","EED"
"894","GTF2IRD1","EXOSC4"
"895","MYCBP","MYCBPAP"
"897","MT2A","PRKD1"
"901","KCNJ1","SLC9A3R2"
"902","KCNG2","KCNB1"
"903","DIO2","USP33"
"904","UBE2I","CHD3"
"906","PER1","CRY1"
"907","PER2","CRY1"
"908","ARNTL","CRY1"
"909","THAP1","PAWR"
"912","DTNB","KIF5A"
"913","MCM4","CDC7"
"915","RBBP8","LMO4"
"916","CCNE1","CUL3"
"919","PDZD2","CTNND2"
"920","GNG5","GNB5"
"921","GNG4","GNB5"
"922","GNG3","GNB5"
"923","GNB5","GNG7"
"926","ARF3","GGA2"
"927","SORT1","GGA2"
"928","EXOSC6","EXOSC8"
"929","MKRN1","EXOSC8"
"930","EXOSC6","EXOSC7"
"931","ZNF496","NSD1"
"932","MPP6","ARHGAP18"
"934","MPP6","EXOSC10"
"936","MPP6","SKIV2L2"
"938","PUM2","PUM2"
"940","ARL6","ARL6IP4"
"941","ARL6","ARL6IP1"
"943","DNAJA3","RNF34"
"947","COPG","COPZ2"
"952","MOCS3","EXOSC6"
"955","EXOSC6","DNAJC30"
"960","MAPKAPK2","PHC2"
"961","CDC7","DBF4"
"963","CDC7","DBF4"
"964","ZHX1","ZHX1"
"967","GGA3","TSG101"
"969","ARL6","ATL2"
"970","ARL6","ARL6IP6"
"972","PRPF6","TXNL4B"
"973","PPFIA1","ERC2"
"974","ERC2","PPFIA4"
"976","VPS37A","VPS28"
"977","PKD2L1","TNNI3"
"978","TNNI3K","TNNI3"
"979","ECT2","KLHL20"
"980","TAF13","TAF10"
"982","CDK14","8-Sep"
"984","TLK1","ASF1B"
"985","ANKRD23","MYPN"
