"","gene1","gene2"
"18202","ZNF24","UNC119"
"18203","ZNF24","ZBTB16"
"18211","BTBD2","BRD7"
"18223","COPE","COPA"
"18224","COX17","UNC119"
"18226","CPE","LRIF1"
"18233","ERH","TP53"
"18234","AKTIP","KIAA1377"
"18237","HNRNPH3","CRMP1"
"18245","PAFAH1B3","BRD7"
"18246","PAFAH1B3","CRMP1"
"18248","PSMD11","BRD7"
"18249","PSMD11","CRMP1"
"18250","PSMD11","RBM48"
"18252","PSMD2","PTN"
"18253","PTN","CHD3"
"18256","PTPRS","KIAA1377"
"18257","PTPRS","UNC119"
"18269","RPLP1","BRD7"
"18271","RPLP1","TUBB2A"
"18272","RPS3A","HSP90AA1"
"18274","SAT1","RPLP1"
"18278","SERPINB9","BRD7"
"18279","SERPINB9","CRMP1"
"18281","SGTA","PTN"
"18282","SUMO2","CHD3"
"18284","TP53I3","UNC119"
"18287","ZNF24","CRMP1"
"18290","ZNF24","TP53"
"18291","BCCIP","PTN"
"18300","PLD2","ARF1"
"18308","UBE2L3","CUL9"
"18312","FBXW7","SKP1"
"18313","SKP1","FBXW7"
"18314","FBXW7","CUL1"
"18315","FBXW7","SKP1"
"18317","GFRA1","GDNF"
"18318","GFRA1","NRTN"
"18319","GFRA2","NRTN"
"18320","GFRA2","GDNF"
"18326","P4HB","TG"
"18327","TSC1","YWHAZ"
"18328","TSC2","YWHAZ"
"18329","YWHAZ","TSC2"
"18330","CTLA4","CD80"
"18331","CD28","CD80"
"18332","NR3C1","MED14"
"18333","NR3C1","TSG101"
"18334","NR3C1","HSPD1"
"18337","NR3C1","MED14"
"18338","MED1","NR3C1"
"18340","THRB","TSG101"
"18342","HFE","TFRC"
"18343","TFRC","HFE"
"18344","CEACAM1","CEACAM8"
"18345","ZBTB16","GATA1"
"18346","GATA1","ZBTB16"
"18347","ALK","PTN"
"18348","PSEN1","GFAP"
"18349","PSEN2","GFAP"
"18350","PSEN1","GFAP"
"18351","COL14A1","DCN"
"18352","GNA13","ARHGEF1"
"18353","ARHGEF1","GNA13"
"18354","CAT","CAT"
"18355","SNTA1","GLS"
"18356","GLS","SNTA1"
"18357","AKT1","IRAK1"
"18358","MYD88","IRAK1"
"18359","CAPN2","CAPNS1"
"18360","TIA1","FASTK"
"18361","TIA1","FASTK"
"18362","CRYAB","CS"
"18365","SRP9","SRP14"
"18367","SOCS1","IRS2"
"18368","IRS1","SOCS1"
"18369","IRS2","SOCS1"
"18370","FGF1","FGFR2"
"18374","CD79A","SYK"
"18375","CD79B","SYK"
"18377","HDAC3","Ncor2"
"18378","HDAC4","Ncor2"
"18380","YWHAG","KIF1C"
"18381","KIF1C","YWHAG"
"18382","YWHAG","KIF1C"
"18388","E2F1","TP53BP1"
"18390","TP53BP1","E2F1"
"18391","E2F1","TP53BP1"
"18394","KIT","CD63"
"18395","KIT","CD81"
"18397","CD63","KIT"
"18398","CD81","KIT"
"18399","PTPRF","PPFIA1"
"18400","PTPRD","PPFIA1"
"18401","PPFIA1","PTPRF"
"18402","PPFIA1","PTPRS"
"18403","PTPRF","PPFIA1"
"18404","PTPRD","PPFIA1"
"18405","PTPRS","PPFIA1"
"18406","STAT3","STAT1"
"18407","STAT3","PTPN11"
"18408","STAT1","EIF2AK2"
"18409","EIF2AK2","STAT1"
"18410","FGFR3","Sh2b1"
"18411","SH2B1","FGFR3"
"18412","IRF4","STAT6"
"18413","IRF4","STAT6"
"18414","IRF4","BCL6"
"18415","IRF4","BCL6"
"18416","MYC","RAF1"
"18417","BCL6","IRF4"
"18418","ITK","KPNA2"
"18419","KPNA2","ITK"
"18420","ITK","KPNA2"
"18421","Ctnnb1","PSEN1"
"18425","KIF11","DCTN1"
"18426","KIF11","KIF11"
"18427","KIF11","DCTN1"
"18431","PIK3R1","WAS"
"18435","PIK3R1","WAS"
"18439","GRB2","WAS"
"18445","WNT1","FZD8"
"18448","FZD8","LRP6"
"18449","FZD8","LRP5"
"18450","LRP6","WNT1"
"18451","PDGFRA","PDGFA"
"18452","PDGFRA","PDGFB"
"18453","COL1A1","ITGA2"
"18457","CDKN2A","CDK4"
"18458","CDKN2A","SERTAD1"
"18459","NR2F1","GRIP1"
"18461","SERTAD1","CDK4"
"18462","PMCH","NPY"
"18463","CDK4","CCND1"
"18464","CDK6","CCND1"
"18465","CDKN2A","CCND1"
"18467","CDKN2A","SERTAD1"
"18469","CCND1","CDK4"
"18471","POP4","RMRP"
"18472","TRIM28","TRIM28"
"18473","ZNF10","TRIM28"
"18474","ZNF10","TRIM28"
"18479","JAK2","EPOR"
"18480","EPOR","JAK2"
"18484","ITPR1","MRVI1"
"18488","MRVI1","ITPR1"
"18490","TCEB1","TCEB2"
"18491","VHL","TCEB1"
"18492","VHL","TCEB2"
"18494","VHL","TCEB2"
"18495","SPTAN1","DES"
"18496","GEM","GMIP"
"18497","GMIP","GEM"
"18500","RHOA","Rock1"
"18501","RHOA","Net1"
"18502","RHOA","Diap3"
"18503","RHOA","Diap1"
"18504","RHOA","Ktn1"
"18506","BIRC5","BIRC5"
"18507","CALM1","IQGAP1"
"18508","TNFRSF9","TNFRSF9"
"18509","NRF1","Dynll1"
"18510","NRF1","Dynlt1b"
"18511","NRF1","DYNLL1"
"18512","NRF1","DYNLL1"
"18513","UCHL1","UBE2I"
"18514","UCHL1","RANBP9"
"18515","UCHL1","COPS5"
"18516","COPS5","UCHL1"
"18517","COPS5","CDKN1B"
"18518","CDKN1B","UCHL1"
"18519","PDE4D","PDE4D"
"18520","GRB2","MAP4K1"
"18522","CRK","MAP4K1"
"18523","CRKL","MAP4K1"
"18526","FRS2","PTPN11"
"18527","INSR","FRS2"
"18528","FRS2","PTPN11"
"18531","ADRBK1","PDC"
"18532","AHR","NEDD8"
"18533","NEDD8","AHR"
"18534","SNX1","F2R"
"18535","F2R","SNX1"
"18536","HGS","NF2"
"18537","CCND1","TAF1"
"18538","TAF1","CCND1"
"18539","TAF1","CCND1"
"18540","THBS1","LRP1"
"18541","TAF6","TAF1"
"18542","TAF6","GTF2E1"
"18546","FOSL1","JUN"
"18547","FOS","JUN"
"18548","FOSL2","JUN"
"18551","JUN","FOSL1"
"18552","JUN","FOS"
"18554","RXRA","RARA"
"18555","TTR","TTR"
"18558","PLDN","MUTED"
"18568","APOC2","LPL"
"18569","Rock1","RHOA"
"18571","Diap3","RHOA"
"18573","Net1","RHOA"
"18575","PKN1","RHOA"
"18577","MAP4K4","RASA1"
"18578","SMN1","GEMIN5"
"18579","DDX20","GEMIN5"
"18581","GEMIN5","DDX20"
"18582","GEMIN5","GEMIN4"
"18583","GEMIN5","GEMIN2"
"18584","GEMIN5","SMN1"
"18585","SMN1","GEMIN5"
"18587","GEMIN5","SNRPD1"
"18588","GEMIN5","SNRPD2"
"18589","GEMIN5","SNRPD3"
"18590","GEMIN5","SNRPE"
"18594","GEMIN5","SNRPF"
"18595","GEMIN5","SNRPG"
"18599","MAFK","NFE2L2"
"18600","SLC3A2","SLC7A5"
"18603","TTN","TCAP"
"18604","CDC7","mcm2"
"18606","LMO1","TAL1"
"18607","BLNK","NCK1"
"18608","BLNK","VAV1"
"18609","BLNK","GRB2"
"18610","LMO1","TAL1"
"18611","LMO2","TAL1"
"18619","FER","CTTN"
"18620","FER","CTTN"
"18621","FER","DNM1"
"18622","FER","DNM2"
"18624","FER","FER"
"18625","FER","CTTN"
"18626","CTTN","WASL"
"18627","WASL","CTTN"
"18628","EPS15","AGFG1"
"18629","EPS15L1","AGFG1"
"18630","EPS15","AGFG1"
"18631","AGFG1","EPS15"
"18632","AGFG1","EPS15"
"18634","IL1R1","IL1RAP"
"18635","IL1RAP","IL1R1"
"18636","IL1RAP","IRAK1"
"18639","NOV","IGF1"
"18641","NOV","INS"
"18645","DRAP1","DR1"
"18646","STK11IP","STK11"
"18647","STK11IP","SMAD4"
"18648","STAT3","IL1RAP"
"18651","CASP3","TRAF3"
"18654","STX1A","SNAP25"
"18655","STX1A","VAMP2"
"18656","STX1A","CPLX1"
"18657","STX1A","CPLX2"
"18659","KDELR1","KDELR1"
"18662","MET","HGF"
"18663","MET","HGF"
"18664","POLR2A","TCERG1"
"18665","POLR2A","TCERG1"
"18666","TCERG1","POLR2A"
"18668","PGF","PGF"
"18673","SLN","ATP2A1"
"18674","SLN","ATP2A2"
"18685","IRS2","PIK3R1"
"18686","IRS2","PTPN11"
"18689","NFKB1","RELA"
"18690","COPS8","GPS1"
"18691","COPS8","COPS2"
"18692","COPS8","COPS3"
"18693","COPS8","COPS4"
"18694","COPS8","COPS5"
"18695","COPS8","COPS6"
"18696","COPS8","COPS8"
"18697","COPS8","COPS7A"
"18698","COPS8","COPS7B"
"18699","TGFBR2","TGFB3"
"18705","CD8A","CD8B"
"18706","CD8A","CD8A"
"18707","CDK4","CDKN2A"
"18708","CDK4","CDKN2A"
"18709","CDK4","PCNA"
"18710","CDK4","CDKN2A"
"18711","CDK4","CCND1"
"18712","UBR5","TOPBP1"
"18713","UBR5","TOPBP1"
"18714","TOPBP1","UBR5"
"18715","UBR5","TOPBP1"
"18716","APP","APBA1"
"18717","APP","APBA2"
"18718","APP","APBA3"
"18719","PSEN2","APBA1"
"18720","PSEN2","APBA2"
"18721","PSEN2","APBA3"
"18722","APP","APBA1"
"18723","APP","APBA2"
"18724","APP","APBA3"
"18725","CRMP1","DPYSL2"
"18726","CRMP1","DPYSL2"
"18727","RHOA","CRMP1"
"18728","RHOA","DPYSL2"
"18729","ANXA6","Rasa1"
"18734","CSNK2A1","HCLS1"
"18735","CASP3","HCLS1"
"18736","CDC7","DBF4"
"18737","CDC7","DBF4"
"18738","DBF4","CDC7"
"18739","FGFBP1","FGFBP1"
"18740","C3","CFP"
"18741","ERG","JUN"
"18742","JUN","ERG"
"18743","THRB","TP53"
"18745","XRCC1","POLB"
"18746","XRCC1","POLB"
"18747","SYNM","DTNA"
"18748","SYNM","DES"
"18752","CSRP3","LDHD"
"18753","NCS1","DRD2"
"18754","NCS1","DRD2"
"18755","NCS1","DRD3"
"18756","DRD2","NCS1"
"18757","NCS1","DRD2"
"18758","DRD2","NCS1"
"18759","PF4","THBD"
"18760","PF4","PROC"
"18761","PKN1","NEFL"
"18762","NEFL","PKN1"
"18763","TNFRSF1B","TRAF2"
"18764","NEFH","PKN1"
"18765","TNFRSF1B","TRAF2"
"18766","PKN1","NEFH"
"18768","STMN2","RGS20"
"18769","FGF1","FGFR2"
"18770","FGFR2","FGFR2"
"18772","WASF2","ACTR3"
"18773","RASSF1","HRAS"
"18774","HRAS","RASSF1"
"18776","CSNK1A1","HMGB2"
"18778","CSNK1A1","PPP1R14A"
"18779","CSNK1A1","SYT9"
"18780","CSNK1A1","ERF"
"18781","CSNK1A1","ADAP1"
"18782","CSNK1A1","KPNA2"
"18783","CSNK1A1","PPP2CA"
"18785","BID","BID"
"18789","CD22","PTPN6"
"18790","PTPN6","CD22"
"18791","PLD2","PRKCA"
"18792","PLD1","AMPH"
"18793","PLD1","BIN1"
"18794","PLD2","AMPH"
"18795","PLD2","BIN1"
"18796","AMPH","PLD2"
"18797","AMPH","PLD1"
"18798","BIN1","PLD1"
"18799","BIN1","PLD2"
"18800","PLD1","AMPH"
"18801","PLD2","AMPH"
"18802","BCAP31","BCAP31"
"18803","BCAP31","MYH10"
"18804","BCAP31","ACTG1"
"18805","ELL","TP53"
"18806","ELL","TP53"
"18807","TP53","ELL"
"18808","ELL","TP53"
"18809","TP53","ELL"
"18810","KDR","CDH5"
"18815","EPN1","CLTC"
"18816","C5","C6"
"18817","C5","C6"
"18818","C5","C7"
"18819","SF3B2","SF3B1"
"18820","SF3B1","SF3B2"
"18821","SF3B2","SF3B3"
"18822","SF3B1","SF3B3"
"18825","CACNG2","GRIA4"
"18826","CACNG2","GRIA1"
"18827","CACNG2","GRIA2"
"18828","CACNG2","DLG4"
"18829","CACNG2","DLG1"
"18830","CACNG2","GRIA4"
"18831","CACNG2","DLG4"
"18841","PRKCA","GRM7"
"18844","ACVR2A","INHBA"
"18845","ACVR2A","INHA"
"18855","NUP62","NUTF2"
"18856","NUP62","KPNA1"
"18857","NUP54","NUTF2"
"18858","NUP54","KPNA1"
"18859","CDKN2A","E4F1"
"18860","E4F1","CDKN2A"
"18861","TP53","CDKN2A"
"18862","TP53","E4F1"
"18863","CSNK2A1","MAZ"
"18866","SCTR","SCT"
"18868","GAP43","RABEP1"
"18870","CAV1","NOS3"
"18871","NOS3","CAV1"
"18872","HBB","HBA1"
"18873","RAB11FIP4","RAB11A"
"18874","RAB11FIP4","RAB11FIP4"
"18875","RAB11FIP4","RAB11FIP3"
"18876","RAB11FIP4","RAB11FIP2"
"18877","RAB11FIP4","RAB11FIP5"
"18878","NOLC1","COIL"
"18879","COIL","NOLC1"
"18880","NOLC1","COIL"
"18881","AHR","AIP"
"18884","AHR","AIP"
"18886","ARNT","AIP"
"18887","ARNT","AIP"
"18889","COPG","ARF1"
"18892","CCR5","ARRB1"
"18893","AKT1","BRAF"
"18894","BRAF","AKT1"
"18895","MAPK3","BRAF"
"18896","AKT1","BRAF"
"18897","SHANK1","BAIAP2"
"18898","BAIAP2","SHANK1"
"18899","BAIAP2","SHANK1"
"18902","PTBP1","Raver1"
"18903","S100P","S100Z"
"18904","S100P","S100Z"
"18905","TFE3","MITF"
"18906","IKBKB","NFKB1"
"18917","GDF5","BMPR1B"
"18918","GDF5","BMPR2"
"18919","GDF5","BMPR1A"
"18920","GDF6","BMPR1B"
"18921","GDF6","BMPR2"
"18922","GDF6","BMPR1A"
"18926","ILK","ILK"
"18930","UTY","TLE2"
"18931","ITGA5","ILK"
"18933","VTNR","ILK"
"18936","TFE3","TFE3"
"18939","CXCR3","CXCL9"
"18940","COPB2","COPA"
"18941","COPB2","COPE"
"18942","COPA","COPE"
"18943","GLI2","CREB1"
"18946","JUN","SKI"
"18947","ARNT","AHR"
"18948","ARNT","AHR"
"18949","PLAUR","FAP"
"18950","SOCS1","JAK2"
"18951","SOCS3","PRLR"
"18952","MEF2C","SP1"
"18953","SP1","MEF2C"
"18954","NCOR1","NCOA1"
"18955","NR3C1","NCOR1"
"18956","TNFSF9","TRAF1"
"18957","TNFSF9","TRAF2"
"18958","TNFSF9","TRAF2"
"18959","TNFSF9","TRAF1"
"18960","HOMER2","Grik1"
"18961","HOMER2","Grik1"
"18962","HOMER2","Grik1"
"18963","Grik1","HOMER2"
"18966","AP1G1","ARF1"
"18967","AP1B1","ARF1"
"18968","AP3S2","ARF1"
"18969","AP3B1","ARF5"
"18970","AP3B1","ARF6"
"18971","AP3S2","ARF6"
"18972","CRK","EPHA3"
"18977","CDK6","CDKN2D"
"18979","GRB2","PDGFRB"
"18985","COPZ2","COPG"
"18988","COPB2","COPG"
"18989","COPG","COPE"
"18991","ARF1","COPE"
"18998","MYC","MAX"
"18999","MYCN","MAX"
"19003","COPS5","JUN"
"19004","COPS5","JUN"
"19005","JUN","COPS5"
"19006","JUND","COPS5"
"19007","LAMA3","SDC2"
"19008","LAMA3","SDC2"
"19009","STAT5A","JAK2"
"19010","STAT5B","JAK2"
"19017","PTPRJ","CTNND1"
"19019","PTPRJ","CTNND1"
"19020","YAP1","TP53BP2"
"19021","YAP1","KIF5A"
"19022","YAP1","DENND3"
"19023","TP53BP2","YAP1"
"19024","TP53BP2","YAP1"
"19025","YAP1","TP53BP2"
"19026","BRCA1","NMI"
"19027","EGF","EGF"
"19028","KNG1","KLKB1"
"19029","KNG1","F11"
"19034","SLC12A2","SLC12A2"
"19035","CAMLG","TNFRSF13B"
"19036","TNFRSF13B","CAMLG"
"19037","TNFSF10","TNFSF10"
"19038","BLNK","MAP4K1"
"19039","BLNK","MAP4K1"
"19040","CXCL1","CXCL1"
"19041","JUN","JUN"
"19047","IGF1R","IGF1"
"19048","IKZF4","IKZF1"
"19049","IKZF4","IKZF4"
"19050","CACNA1A","CACNB4"
"19053","MAPK10","ARRB2"
"19054","MAPK10","ARRB1"
"19057","Grap2","EGFR"
"19060","Grap2","KHDRBS1"
"19061","Grap2","CBL"
"19062","Grap2","SOS1"
"19063","GRB2","SOS1"
"19064","GRB2","KHDRBS1"
"19065","GRB2","CBL"
"19068","CCNDBP1","CCND1"
"19069","CCNDBP1","CCND1"
"19070","S100A10","CTSB"
"19071","S100A10","CTSB"
"19072","ANXA2","CTSB"
"19076","CBL","CRKL"
"19082","VAV1","PIK3R1"
"19083","PIK3R1","VAV1"
"19085","PIK3R1","VAV1"
"19086","PIK3R1","GAB1"
"19087","STX5","GOSR1"
"19088","STX5","GOSR2"
"19089","STX5","STX17"
"19096","CDC20","BUB1B"
"19097","CDC20","BUB1B"
"19103","NGFR","NDN"
"19104","NGFR","MAGEH1"
"19105","SRF","Ssrp1"
"19106","MAGEH1","NGFR"
"19107","SRF","SSRP1"
"19108","NDN","NGFR"
"19109","STK39","STK39"
"19110","STK39","MBP"
"19116","NAPA","VAMP8"
"19117","CFI","C3"
"19119","GOSR1","STX5"
"19120","GOSR2","STX5"
"19121","GRIA1","GRIA2"
"19124","CALM1","TCF4"
"19125","CALM1","TCF3"
"19126","XRCC5","VAV1"
"19127","XRCC5","TYK2"
"19128","TYK2","XRCC5"
"19129","TYK2","VAV1"
"19130","PTPN6","PTK2B"
"19131","PTPN6","SYK"
"19132","PTK2B","PTPN6"
"19133","GRB2","PTPN6"
"19134","GRB2","PTPN11"
"19135","GRB2","SYK"
"19136","SYK","PTK2B"
"19137","SLC9A3","SLC9A3R2"
"19138","EZR","SLC9A3R2"
"19139","MBD2","SIN3A"
"19140","MBD2","SIN3A"
"19144","Shc1","ERBB3"
"19145","Rps6ka1","ETV1"
"19147","LYN","PDE4A"
"19152","MITF","PIAS3"
"19153","MITF","PIAS3"
"19154","PIAS3","MITF"
"19155","PRAM1","LCP2"
"19156","PRAM1","SKAP2"
"19157","PRAM1","LYN"
"19158","NEFH","NEFL"
"19159","INSR","SOCS3"
"19160","TTN","MYBPC3"
"19162","KPNB1","KPNA2"
"19164","SNAP23","STX1A"
"19165","SNAP23","STX2"
"19166","SNAP23","STX3"
"19167","SNAP23","STX4"
"19172","Snap25","STX1A"
"19173","Snap25","STX2"
"19174","Snap25","STX3"
"19175","Snap25","STX4"
"19176","STX1A","SNAP23"
"19177","STX2","SNAP23"
"19178","STX3","SNAP23"
"19179","STX4","SNAP23"
"19184","STX1A","Snap25"
"19185","STX2","Snap25"
"19186","STX3","Snap25"
"19187","STX4","Snap25"
"19188","STX4","SNAP23"
"19189","SERPING1","C1S"
"19190","INSR","IRS2"
"19191","INSR","IRS1"
"19194","SMAD2","TGIF1"
"19195","TGIF1","JUN"
"19196","SMAD2","JUN"
"19197","TGIF1","JUN"
"19207","MAP3K14","CHUK"
"19208","CHUK","MAP3K14"
"19209","CHUK","TRAF2"
"19212","NCAM1","FGFR1"
"19213","AKT1","HSPB1"
"19214","AKT1","MAPKAPK2"
"19216","MAPKAPK2","AKT1"
"19217","MAPKAPK2","HSPB1"
"19221","IKBKG","CHUK"
"19224","CDC6","PSKH1"
"19225","CDC6","PSKH1"
"19226","CDC6","CCNA2"
"19227","CDC6","CCNA2"
"19228","INPP5D","CD22"
"19229","GRB2","CD22"
"19231","CD22","INPP5D"
"19232","CD22","GRB2"
"19234","LYN","CD22"
"19235","JAK2","SH2B2"
"19236","SH2B2","CBL"
"19237","CAPN2","BCL2"
"19238","CAPN2","BID"
"19239","CAPN2","BCL2"
"19240","NR3C1","HSP90AA1"
"19253","NR4A2","RARA"
"19254","NR4A2","RARB"
"19255","NR4A2","RARA"
"19256","NR4A2","RARB"
"19257","FN1","COL7A1"
"19260","CXCR4","CCR5"
"19269","GIT2","ADRBK1"
"19270","GIT1","ADRBK1"
"19271","CPB2","A2M"
"19272","NPHP1","NPHP1"
"19274","NPHP1","FLNB"
"19276","GRB2","WAS"
"19277","GRB2","WAS"
"19278","WAS","GRB2"
"19279","WAS","EGFR"
"19280","EGFR","WAS"
"19281","NOS3","NOSTRIN"
"19282","NOSTRIN","NOS3"
"19283","NOS3","NOSTRIN"
"19284","NOSTRIN","NOS3"
"19285","NOSTRIN","NOS3"
"19286","NOSTRIN","NOS3"
"19287","BMP2","COL2A1"
"19288","BMP2","COL2A1"
"19289","COL2A1","BMP2"
"19290","TGFB1","COL2A1"
"19298","S100A8","S100A8"
"19299","A2M","ADAMTS1"
"19301","LY96","TLR4"
"19302","GRB7","ERBB3"
"19303","ACTN2","KCNA5"
"19304","ACTN2","KCNA5"
"19305","ACTN2","KCNA5"
"19306","KCNA5","ACTN2"
"19307","LRP2","MAPK8IP1"
"19308","LRP2","SYNJ2BP"
"19309","LRP2","NOS1AP"
"19310","LRP2","SCN3A"
"19311","LRP2","APBA2"
"19312","LRP2","ANAPC10"
"19314","LRP2","DLG4"
"19315","LRP2","MAPK8IP2"
"19316","LRP2","ITGB1BP1"
"19317","PRLHR","GRIP1"
"19319","LRP2","GIPC1"
"19320","LRP1","GIPC1"
"19321","LRP1","MAPK8IP1"
"19322","LRP1","DLG4"
"19323","LRP1","MAPK8IP2"
"19324","LRP1","SYNJ2BP"
"19325","LRP1","NOS1AP"
"19326","LRP1","SCN3A"
"19327","LRP1","APBA2"
"19329","LRP1","ITGB1BP1"
"19330","LRP1","ANAPC10"
"19333","LRP8","GIPC1"
"19334","LRP8","MAPK8IP1"
"19335","LRP8","DLG4"
"19336","LRP8","MAPK8IP2"
"19337","LRP8","SYNJ2BP"
"19338","LRP8","NOS1AP"
"19339","LRP8","SCN3A"
"19340","LRP8","APBA2"
"19342","LRP8","ITGB1BP1"
"19343","LRP8","ANAPC10"
"19344","GIPC1","LRP2"
"19345","MAPK8IP1","LRP2"
"19346","DLG4","LRP2"
"19347","DLG4","LRP1"
"19348","GIPC1","LRP1"
"19349","MAPK8IP1","LRP1"
"19350","MAPK8IP2","LRP1"
"19351","MAPK8IP2","LRP2"
"19352","SYNJ2BP","LRP1"
"19353","SYNJ2BP","LRP2"
"19354","NOS1AP","LRP1"
"19355","NOS1AP","LRP2"
"19356","ITGB1BP1","LRP1"
"19357","ITGB1BP1","LRP2"
"19363","CCNO","PCNA"
"19366","RAF1","MRAS"
"19368","GOPC","BECN1"
"19369","GOPC","GRID2"
"19370","GRID2","GOPC"
"19371","GOPC","BECN1"
"19372","GOPC","BECN1"
"19373","PIK3R1","IRS1"
"19374","EIF2AK2","PPP1CA"
"19375","PPP1CA","EIF2AK2"
"19376","PPP1CA","EIF2AK2"
"19378","PF4","PF4"
"19379","GSK3B","AKT2"
"19380","ITGB3","ITGAV"
"19382","NME1","NME1"
"19383","STAT1","STAT2"
"19384","STAT1","STAT1"
"19387","GRB2","KHDRBS1"
"19389","GRB2","SOS1"
"19390","GRB2","GAB1"
"19391","CDH1","CTNNA1"
"19393","GRB2","EGFR"
"19395","CTNND1","ZBTB33"
"19396","CTNND1","ZBTB33"
"19397","PLCB2","PLCB2"
"19398","CCND1","TAF1"
"19404","GUCY2F","GUCY2F"
"19405","GUCY2E","GUCY2E"
"19406","GUCY2E","GUCY2F"
"19407","RIPK1","CRADD"
"19410","APCS","APCS"
"19411","GJA1","GJA1"
"19412","GJA1","GJA3"
"19413","MSN","MSN"
"19415","MMP2","TIMP2"
"19416","DNAJC3","EIF2AK3"
"19417","EIF2AK3","DNAJC3"
"19418","DNAJC3","EIF2AK3"
"19419","EIF2AK3","DNAJC3"
"19422","KLK1","SERPINA4"
"19425","ADAM17","MAPK1"
"19426","MAPK1","ADAM17"
"19427","ADAM17","MAPK1"
"19428","CCNA1","HIST1H1A"
"19429","CCNA1","HIST1H2BA"
"19430","CCNA1","CDK2"
"19431","CCNA1","CDK1"
"19432","CALCRL","RAMP3"
"19434","KRAS","PIK3CA"
"19436","KRAS","RAF1"
"19437","HRAS","RAF1"
"19439","HRAS","PIK3CA"
"19442","RRAS2","RAF1"
"19448","HRAS","RAF1"
"19456","GP1BA","VWF"
"19457","ADRBK1","RHO"
"19458","PPP2CA","PPM1B"
"19459","PPP2CA","CDK2"
"19460","PPP2CA","CDK6"
"19461","PPP2CA","CDK2"
"19462","PPP2CA","CDK6"
"19463","PPM1B","CDK2"
"19464","PPM1B","CDK6"
"19465","PPM1B","CDK2"
"19466","PPM1B","CDK6"
"19467","CDK2","CDK6"
"19468","CTCF","YBX1"
"19469","CTCF","YBX1"
"19470","YBX1","CTCF"
"19471","CTCF","YBX1"
"19472","LMX1A","TCF3"
"19473","LMX1A","LMX1A"
"19474","F2","FGA"
"19475","LMX1A","TCF3"
"19477","TIAM1","PPP1R9B"
"19478","PPP1R9B","RASGRF1"
"19479","NCOA1","FOXA2"
"19489","JUN","FOS"
"19490","C3","CFP"
"19492","MDM2","TAF1"
"19493","FASLG","FN1"
"19494","C5","C8B"
"19497","CAV2","CAV1"
"19501","PF4","LDLR"
"19502","TERF1","TNKS"
"19503","TNKS","TERF1"
"19504","TNKS","TERF1"
"19505","TNKS2","TERF1"
"19509","MAPK8IP2","MAP2K3"
"19510","TIAM1","MAPK8IP2"
"19511","TIAM1","MAPK8IP1"
"19512","GNG13","GNB4"
"19514","CASP2","CRADD"
"19515","CASP2","CRADD"
"19521","EHD3","SNAP29"
"19522","SNAP29","SNAP29"
"19524","IGF1R","SNAP29"
"19526","Ppp5c","CDC27"
"19527","CDC27","Ppp5c"
"19531","CDC27","PPP5C"
"19532","PSEN1","FLNB"
"19533","PSEN2","FLNB"
"19534","FLNB","PSEN1"
"19535","FLNB","PSEN2"
"19539","TNFRSF1A","TRAP1"
"19540","ST6GAL1","ST6GAL1"
"19541","XPO1","NUP62"
"19542","XPO1","NUP62"
"19545","ITGB5","PTK2"
"19546","ITGB3","PTK2"
"19547","ITGB5","PTK2"
"19548","S100A13","SYT1"
"19549","S100A13","FGF1"
"19550","Ctbp1","IKZF4"
"19551","IKZF4","CTBP1"
"19552","IKZF4","CTBP1"
"19554","CCL2","CCL2"
"19556","IFNAR1","TYK2"
"19560","PDE6D","ARL2"
"19563","PDE6D","RHEB"
"19564","PDE6D","HRAS"
"19565","PDE6D","RND1"
"19566","PDE6D","RAP1A"
"19567","PDE6D","Arl2"
"19568","PDE6D","Arl3"
"19569","CHRNE","CHRNA1"
"19570","GSK3B","TP53"
"19571","GSK3B","TP53"
"19572","FXYD7","Atp1a1"
"19573","FXYD7","Atp1b1"
"19574","RELA","JUN"
"19575","JUN","JUN"
"19576","JUN","FOS"
"19577","RELA","FOS"
"19578","RELA","JUN"
"19579","HRAS","SOS1"
"19580","BLMH","UBE2I"
"19581","BLMH","UBE2I"
"19584","PAFAH1B1","NUDC"
"19585","NUDC","PAFAH1B1"
"19586","NUDC","PAFAH1B1"
"19587","NUDC","PAFAH1B1"
"19588","TPBG","GIPC1"
"19589","TPBG","GIPC1"
"19590","GIPC1","TPBG"
"19591","PPP2CA","ETF1"
"19592","PPP2CA","ETF1"
"19593","ETF1","PPP2CA"
"19594","SRP19","TNPO1"
"19596","SRP19","IPO7"
"19597","SRP19","IPO8"
"19599","RPL23A","IPO7"
"19600","RPL23A","IPO8"
"19601","RPL23A","TNPO1"
"19603","SRP19","IPO7"
"19604","SRP19","IPO8"
"19605","SRP19","TNPO1"
"19606","RHOA","CIT"
"19608","CIT","RHOA"
"19609","CIT","RHOB"
"19611","RHOB","CIT"
"19614","USO1","GOSR1"
"19615","USO1","GOSR2"
"19616","USO1","BET1"
"19617","USO1","YKT6"
"19618","USO1","STX5"
"19619","USO1","SEC22A"
"19621","GOSR1","STX5"
"19622","GOSR1","YKT6"
"19623","GOSR1","BET1"
"19624","GOSR1","BET1L"
"19625","BET1L","GOSR1"
"19626","BET1L","STX5"
"19627","BET1L","YKT6"
"19628","STX5","GOSR1"
"19629","STX5","YKT6"
"19630","STX5","SEC22A"
"19631","STX5","GOSR2"
"19632","STX5","BET1L"
